channel_title,category_id,views,likes,dislikes,comment_total,date,,,,,,,,,,
Movieclips Trailers,1,229037,4137,157,587,14.09,,,,,,,,,,
LastWeekTonight,24,3506621,67469,4459,8750,14.09,,,,,,,,,,
Alan Walker,10,285838,31544,422,3563,14.09,,,,,,,,,,
WDW News Today,19,35101,172,5,47,14.09,,,,,,,,,,
The School of Life,27,205103,10947,471,1206,14.09,,,,,,,,,,
Doug DeMuro,2,971177,19477,1157,8125,14.09,,,,,,,,,,
Rclbeauty101,24,1180879,47871,1640,4295,14.09,,,,,,,,,,
Niana Guerrero,24,564175,33359,489,4152,14.09,,,,,,,,,,
mugumogu,15,61085,3797,9,362,14.09,,,,,,,,,,
Amber Scholl,26,213321,12990,138,1403,14.09,,,,,,,,,,
LANYVEVO,10,222206,21395,150,2298,14.09,,,,,,,,,,
DeathByPixel,2,675609,3571,1640,920,14.09,,,,,,,,,,
Rooster Teeth,1,947706,25968,741,1139,14.09,,,,,,,,,,
NN,22,111295,122,25,74,14.09,,,,,,,,,,
Wil Dasovich,22,892442,27575,554,6161,14.09,,,,,,,,,,
South Park Studios,20,219849,3905,181,1329,14.09,,,,,,,,,,
Jimmy Kimmel Live,23,310292,4598,155,371,14.09,,,,,,,,,,
Nile Wilson,17,214484,12908,125,937,14.09,,,,,,,,,,
Nyma Tang,26,2511218,90146,1320,7936,14.09,,,,,,,,,,
SlashGear,2,116342,569,37,121,14.09,,,,,,,,,,
How To Cake It,26,496275,25070,236,3634,14.09,,,,,,,,,,
MyHarto,26,86268,6084,48,686,14.09,,,,,,,,,,
Enter Shikari,10,81215,3716,228,494,14.09,,,,,,,,,,
La Guardia Cross,23,40606,4296,11,605,14.09,,,,,,,,,,
WPTV News | West Palm Beach Florida,25,267179,1071,184,0,14.09,,,,,,,,,,
Rosanna Pansino,26,376653,21239,220,3538,14.09,,,,,,,,,,
Jenny Nicholson,1,45843,2548,115,504,14.09,,,,,,,,,,
CrowderVEVO,10,25912,1602,22,114,14.09,,,,,,,,,,
Peter McKinnon,22,165684,15485,77,1180,14.09,,,,,,,,,,
Galen Hooks,24,12588,1330,4,119,14.09,,,,,,,,,,
Gus Johnson,23,70220,6395,80,388,14.09,,,,,,,,,,
BBCRadio1VEVO,10,1247138,68793,1092,4582,14.09,,,,,,,,,,
Johns Hopkins All Children's Hospital,29,51223,0,0,0,14.09,,,,,,,,,,
E! News,24,59907,152,248,286,14.09,,,,,,,,,,
Grace Helbig,22,158781,10142,60,1003,14.09,,,,,,,,,,
Cracked,23,410406,14671,344,1407,14.09,,,,,,,,,,
Good Mythical Morning,23,1918194,39488,2017,6311,14.09,,,,,,,,,,
Los Angeles Times,25,179786,2642,25,466,14.09,,,,,,,,,,
TechCrunch,28,19880,112,3,28,14.09,,,,,,,,,,
Rudimental,10,304490,10871,171,385,14.09,,,,,,,,,,
Miranda Sings,23,618587,35336,1143,16645,14.09,,,,,,,,,,
Enter Name Here,17,329508,3915,105,697,14.09,,,,,,,,,,
Casey Holmes,26,274315,16268,266,1965,14.09,,,,,,,,,,
Fifty Shades,24,4959620,18534,2723,2450,14.09,,,,,,,,,,
BuzzFeedVideo,22,4830992,107674,2276,11743,14.09,,,,,,,,,,
thataylaa,26,150257,10185,137,1107,14.09,,,,,,,,,,
Genius,10,264911,11034,304,1231,14.09,,,,,,,,,,
NBC News,25,1170059,15377,996,4695,14.09,,,,,,,,,,
kirstinVEVO,10,54816,4499,129,640,14.09,,,,,,,,,,
CBS Sunday Morning,25,364857,3521,24218,6501,14.09,,,,,,,,,,
E! Live from the Red Carpet,24,2817086,18485,723,5728,14.09,,,,,,,,,,
The New York Times,25,9396,76,2,13,14.09,,,,,,,,,,
CBS News,25,482681,949,138,598,14.09,,,,,,,,,,
Tech Insider,28,151736,2153,102,444,14.09,,,,,,,,,,
Tom’s Guide,28,24701,119,11,54,14.09,,,,,,,,,,
SoulPancake,24,372944,15547,646,2081,14.09,,,,,,,,,,
SULPreservation,27,56016,351,12,20,14.09,,,,,,,,,,
Reigarw Comparisons,28,2711006,29072,2279,7081,14.09,,,,,,,,,,
Jersy Del Rio,10,19753,112,5,10,14.09,,,,,,,,,,
Tom Scott,27,348472,18538,115,1070,14.09,,,,,,,,,,
ABC Action News,24,7198312,26768,3932,147,14.09,,,,,,,,,,
Historia Civilis,27,252323,12482,202,1635,14.09,,,,,,,,,,
Buttered Side Down,23,17270,1749,39,213,14.09,,,,,,,,,,
WolfAliceVEVO,10,122462,5058,107,355,14.09,,,,,,,,,,
Casually Explained,23,1490599,75508,1519,3978,14.09,,,,,,,,,,
Ultra Music,10,352810,4636,239,331,14.09,,,,,,,,,,
HBO,1,541705,6617,117,901,14.09,,,,,,,,,,
#Mind Warehouse,27,5107032,33851,13164,4404,14.09,,,,,,,,,,
